Feature,Importance
Est-424330,0.0
Pay-424330,0.0
Emp-424340,0.0
Est-424340,0.0
Pay-424340,0.0
Emp-424420,0.0
Est-424420,0.0
Pay-424420,0.0
Emp-424430,0.0
Est-424430,0.0
Pay-424430,0.0
Emp-424450,0.0
Est-424450,0.0
Pay-424450,0.0
Emp-424460,0.0
Est-424460,0.0
Pay-424460,0.0
Emp-424480,0.0
Est-424480,0.0
Pay-424480,0.0
Emp-424490,0.0
Est-424490,0.0
Pay-424490,0.0
Emp-424610,0.0
Est-424610,0.0
Pay-424610,0.0
Emp-424690,0.0
Est-424690,0.0
Pay-424690,0.0
Emp-424710,0.0
Est-424710,0.0
Pay-424710,0.0
Emp-424720,0.0
Est-424720,0.0
Pay-424720,0.0
Emp-424810,0.0
Est-424810,0.0
Pay-424810,0.0
Emp-424820,0.0
Est-424820,0.0
Pay-424820,0.0
Emp-424910,0.0
Est-424910,0.0
Pay-424910,0.0
Emp-424920,0.0
Est-424920,0.0
Pay-424920,0.0
Emp-424930,0.0
Est-424930,0.0
Pay-424930,0.0
Emp-424990,0.0
Est-424990,0.0
Pay-424990,0.0
Emp-425120,0.0
Est-425120,0.0
Pay-425120,0.0
Emp-441110,0.0
Est-441110,0.0
Pay-441110,0.0
Emp-441120,0.0
Est-441120,0.0
Pay-441120,0.0
Emp-441210,0.0
Est-441210,0.0
Pay-441210,0.0
Emp-441222,0.0
Est-441222,2.0
Pay-441222,0.0
Emp-441228,0.0
Est-441228,0.0
Pay-441228,0.0
Emp-441310,0.0
Est-441310,0.0
Pay-441310,0.0
Emp-441320,0.0
Est-441320,0.0
Pay-441320,0.0
Emp-442110,0.0
Est-442110,1.0
Pay-442110,0.0
Emp-442210,0.0
Est-442210,0.0
Pay-442210,0.0
Emp-442291,0.0
Est-442291,0.0
Pay-442291,0.0
Emp-442299,0.0
Est-442299,0.0
Pay-442299,0.0
Emp-443141,0.0
Est-443141,0.0
Pay-443141,0.0
Emp-443142,1.0
Est-443142,0.0
Pay-443142,0.0
Emp-444110,0.0
Est-444110,0.0
Pay-444110,0.0
Emp-444120,0.0
Est-444120,0.0
Pay-444120,0.0
Emp-444130,0.0
Est-444130,1.0
Pay-444130,0.0
Emp-444190,0.0
Est-444190,1.0
Pay-444190,0.0
Emp-444210,0.0
Est-444210,0.0
Pay-444210,0.0
Emp-444220,0.0
Est-444220,0.0
Pay-444220,2.0
Emp-445110,0.0
Est-445110,0.0
Pay-445110,0.0
Emp-445120,0.0
Est-445120,0.0
Pay-445120,0.0
Emp-445210,0.0
Est-445210,0.0
Pay-445210,0.0
Emp-445220,0.0
Est-445220,0.0
Pay-445220,0.0
Emp-445230,0.0
Est-445230,0.0
Pay-445230,0.0
Emp-445291,0.0
Est-445291,0.0
Pay-445291,0.0
Emp-445292,0.0
Est-445292,0.0
Pay-445292,0.0
Emp-445299,0.0
Est-445299,0.0
Pay-445299,0.0
Emp-445310,0.0
Est-445310,0.0
Pay-445310,0.0
Emp-446110,1.0
Est-446110,0.0
Pay-446110,0.0
Emp-446120,0.0
Est-446120,0.0
Pay-446120,0.0
Emp-446130,0.0
Est-446130,0.0
Pay-446130,0.0
Emp-446191,0.0
Est-446191,0.0
Pay-446191,0.0
Emp-446199,0.0
Est-446199,0.0
Pay-446199,0.0
Emp-447110,0.0
Est-447110,0.0
Pay-447110,0.0
Emp-447190,0.0
Est-447190,0.0
Pay-447190,0.0
Emp-448110,0.0
Est-448110,0.0
Pay-448110,0.0
Emp-448120,0.0
Est-448120,0.0
Pay-448120,0.0
Emp-448130,0.0
Est-448130,0.0
Pay-448130,0.0
Emp-448140,0.0
Est-448140,0.0
Pay-448140,0.0
Emp-448150,0.0
Est-448150,0.0
Pay-448150,0.0
Emp-448190,0.0
Est-448190,0.0
Pay-448190,0.0
Emp-448210,0.0
Est-448210,0.0
Pay-448210,0.0
Emp-448310,0.0
Est-448310,0.0
Pay-448310,0.0
Emp-451110,0.0
Est-451110,0.0
Pay-451110,1.0
Emp-451120,0.0
Est-451120,0.0
Pay-451120,0.0
Emp-451130,0.0
Est-451130,0.0
Pay-451130,0.0
Emp-451140,0.0
Est-451140,0.0
Pay-451140,0.0
Emp-451211,0.0
Est-451211,0.0
Pay-451211,0.0
Emp-452210,1.0
Est-452210,0.0
Pay-452210,0.0
Emp-452311,0.0
Est-452311,0.0
Pay-452311,0.0
Emp-452319,0.0
Est-452319,0.0
Pay-452319,0.0
Emp-453110,0.0
Est-453110,0.0
Pay-453110,0.0
Emp-453210,0.0
Est-453210,0.0
Pay-453210,0.0
Emp-453220,0.0
Est-453220,0.0
Pay-453220,0.0
Emp-453310,1.0
Est-453310,0.0
Pay-453310,0.0
Emp-453910,0.0
Est-453910,0.0
Pay-453910,0.0
Emp-453920,0.0
Est-453920,0.0
Pay-453920,0.0
Emp-453930,0.0
Est-453930,0.0
Pay-453930,0.0
Emp-453991,0.0
Est-453991,0.0
Pay-453991,0.0
Emp-453998,0.0
Est-453998,0.0
Pay-453998,0.0
Emp-454110,0.0
Est-454110,0.0
Pay-454110,0.0
Emp-454210,0.0
Est-454210,0.0
Pay-454210,0.0
Emp-454310,1.0
Est-454310,1.0
Pay-454310,8.0
Emp-454390,1.0
Est-454390,0.0
Pay-454390,0.0
Emp-481111,0.0
Est-481111,0.0
Pay-481111,0.0
Emp-481211,0.0
Est-481211,0.0
Pay-481211,0.0
Emp-483113,0.0
Est-483113,0.0
Pay-483113,0.0
Emp-483114,0.0
Est-483114,0.0
Pay-483114,0.0
Emp-484110,0.0
Est-484110,0.0
Pay-484110,0.0
Emp-484121,0.0
Est-484121,3.0
Pay-484121,0.0
Emp-484122,0.0
Est-484122,0.0
Pay-484122,0.0
Emp-484210,0.0
Est-484210,0.0
Pay-484210,0.0
